,Total,12 Packs,,Starter ,Jinx,,SF Box,,Rumble Deck,
No,Total,Normal,Shinny,Garen + Master Yi,Normal,Shinny,Normal,Shinny,Normal,Shinny
ogn-288,1,,,1.0,,,,,,
ogn-289,1,,,,,1.0,,,,
ogn-290,0,,,,,,,,,
ogn-291,1,1.0,,,,,,,,
ogn-292,1,1.0,,,,,,,,
ogn-293,1,1.0,,,,,,,,
ogn-294,1,,,1.0,,,,,,
ogn-295,1,,1.0,,,,,,,
ogn-296,0,,,,,,,,,
ogn-297,0,,,,,,,,,
ogn-298,1,,,,,1.0,,,,
ogn-299,0,,,,,,,,,
ogn-299,0,,,,,,,,,
ogn-300,0,,,,,,,,,
ogn-300,0,,,,,,,,,
ogn-301,0,,,,,,,,,
ogn-301,0,,,,,,,,,
ogn-302,0,,,,,,,,,
ogn-302,0,,,,,,,,,
ogn-303,0,,,,,,,,,
ogn-303,0,,,,,,,,,
ogn-304,0,,,,,,,,,
ogn-304,0,,,,,,,,,
ogn-305,0,,,,,,,,,
ogn-305,0,,,,,,,,,
ogn-306,0,,,,,,,,,
ogn-306,0,,,,,,,,,
ogn-307,0,,,,,,,,,
ogn-307,0,,,,,,,,,
ogn-308,0,,,,,,,,,
ogn-308,0,,,,,,,,,
ogn-309,0,,,,,,,,,
ogn-309,0,,,,,,,,,
ogn-310,0,,,,,,,,,
ogn-310,0,,,,,,,,,
ogs-001,0,,,,,,,,,
ogs-002,0,,,,,,,,,
ogs-003,0,,,,,,,,,
ogs-004,2,,,2.0,,,,,,
ogs-005,3,,,3.0,,,,,,
ogs-006,0,,,,,,,,,
ogs-007,2,,,2.0,,,,,,
ogs-008,3,,,3.0,,,,,,
ogs-009,2,,,2.0,,,,,,
ogs-010,0,,,,,,,,,
ogs-011,0,,,,,,,,,
ogs-012,0,,,,,,,,,
ogs-013,2,,,2.0,,,,,,
ogs-014,0,,,,,,,,,
ogs-015,3,,,3.0,,,,,,
ogs-016,3,,,3.0,,,,,,
ogs-017,0,,,,,,,,,
ogs-018,0,,,,,,,,,
ogs-019,1,,,1.0,,,,,,
ogs-020,2,,,2.0,,,,,,
ogs-021,0,,,,,,,,,
ogs-022,0,,,,,,,,,
ogs-023,1,,,1.0,,,,,,
ogs-024,2,,,2.0,,,,,,
sfd-001,4,,,,,,3.0,1.0,,
sfd-002,2,,,,,,2.0,,,
sfd-003,3,,,,,,3.0,,,
sfd-004,3,,,,,,3.0,,,
sfd-005,3,,,,,,3.0,,,
sfd-006,3,,,,,,3.0,,,
sfd-007,7,,,,,,6.0,1.0,,
sfd-008,3,,,,,,3.0,,,
sfd-009,3,,,,,,3.0,,,
sfd-010,3,,,,,,3.0,,,
sfd-011,2,,,,,,1.0,1.0,,
sfd-012,1,,,,,,1.0,,,
sfd-013,2,,,,,,2.0,,,
sfd-014,1,,,,,,1.0,,,
sfd-015,1,,,,,,1.0,,,
sfd-016,2,,,,,,1.0,1.0,,
sfd-017,1,,,,,,1.0,,,
sfd-018,1,,,,,,1.0,,,
sfd-019,2,,,,,,2.0,,,
sfd-020,1,,,,,,1.0,,,
sfd-020a,,,,,,,,,,
sfd-021,2,,,,,,2.0,,,
sfd-022,1,,,,,,1.0,,,
sfd-023,0,,,,,,,,,
sfd-024,1,,,,,,1.0,,,
sfd-025,0,,,,,,,,,
sfd-026,3,,,,,,3.0,,,
sfd-026a,,,,,,,,,,
sfd-027,1,,,,,,1.0,,,
sfd-028,1,,,,,,,,,
sfd-028a,,,,,,,1.0,,,
sfd-029,0,,,,,,,,,
sfd-029a,,,,,,,,,,
sfd-030,0,,,,,,,,,
sfd-031,3,,,,,,3.0,,,
sfd-032,2,,,,,,2.0,,,
sfd-033,3,,,,,,3.0,,,
sfd-034,4,,,,,,4.0,,,
sfd-035,3,,,,,,3.0,,,
sfd-036,4,,,,,,4.0,,,
sfd-037,3,,,,,,3.0,,,
sfd-038,4,,,,,,3.0,1.0,,
sfd-039,3,,,,,,3.0,,,
sfd-040,4,,,,,,3.0,1.0,,
sfd-041,1,,,,,,1.0,,,
sfd-042,1,,,,,,1.0,,,
sfd-043,2,,,,,,1.0,1.0,,
sfd-044,1,,,,,,1.0,,,
sfd-045,1,,,,,,1.0,,,
sfd-046,1,,,,,,1.0,,,
sfd-047,1,,,,,,1.0,,,
sfd-048,1,,,,,,1.0,,,
sfd-049,0,,,,,,,,,
sfd-050,2,,,,,,2.0,,,
sfd-050a,,,,,,,,,,
sfd-051,0,,,,,,,,,
sfd-052,1,,,,,,1.0,,,
sfd-053,0,,,,,,,,,
sfd-054,1,,,,,,1.0,,,
sfd-054a,,,,,,,,,,
sfd-055,1,,,,,,1.0,,,
sfd-056,0,,,,,,,,,
sfd-057,1,,,,,,1.0,,,
sfd-057a,,,,,,,,,,
sfd-058,0,,,,,,,,,
sfd-058a,,,,,,,,,,
sfd-059,0,,,,,,,,,
sfd-060,0,,,,,,,,,
sfd-061,3,,,,,,3.0,,,
sfd-062,6,,,,,,6.0,,,
sfd-063,3,,,,,,3.0,,,
sfd-064,4,,,,,,3.0,1.0,,
sfd-065,6,,,,,,6.0,,,
sfd-066,5,,,,,,5.0,,,
sfd-067,3,,,,,,3.0,,,
sfd-068,3,,,,,,3.0,,,
sfd-069,6,,,,,,6.0,,,
sfd-070,6,,,,,,5.0,1.0,,
sfd-071,3,,,,,,3.0,,,
sfd-072,1,,,,,,1.0,,,
sfd-073,1,,,,,,1.0,,,
sfd-074,1,,,,,,1.0,,,
sfd-075,2,,,,,,2.0,,,
sfd-076,4,,,,,,3.0,1.0,,
sfd-077,0,,,,,,,,,
sfd-078,1,,,,,,1.0,,,
sfd-079,0,,,,,,,,,
sfd-080,1,,,,,,1.0,,,
sfd-081,0,,,,,,,,,
sfd-082,1,,,,,,1.0,,,
sfd-082a,,,,,,,,,,
sfd-083,1,,,,,,1.0,,,
sfd-084,0,,,,,,,,,
sfd-085,1,,,,,,1.0,,,
sfd-085a,,,,,,,,,,
sfd-086,1,,,,,,1.0,,,
sfd-087,0,,,,,,,,,
sfd-088,0,,,,,,,,,
sfd-088a,,,,,,,,,,
sfd-089,3,,,,,,2.0,,,
sfd-089a,,,,,,,1.0,,,
sfd-090,0,,,,,,,,,
sfd-091,3,,,,,,3.0,,,
sfd-092,3,,,,,,3.0,,,
sfd-093,4,,,,,,3.0,1.0,,
sfd-094,3,,,,,,3.0,,,
sfd-095,4,,,,,,3.0,1.0,,
sfd-096,3,,,,,,3.0,,,
sfd-097,3,,,,,,3.0,,,
sfd-098,2,,,,,,2.0,,,
sfd-099,3,,,,,,3.0,,,
sfd-100,2,,,,,,2.0,,,
sfd-101,2,,,,,,2.0,,,
sfd-102,1,,,,,,1.0,,,
sfd-103,2,,,,,,1.0,1.0,,
sfd-104,2,,,,,,2.0,,,
sfd-105,2,,,,,,2.0,,,
sfd-106,1,,,,,,1.0,,,
sfd-107,1,,,,,,1.0,,,
sfd-108,1,,,,,,1.0,,,
sfd-109,1,,,,,,1.0,,,
sfd-110,0,,,,,,,,,
sfd-110a,,,,,,,,,,
sfd-111,1,,,,,,1.0,,,
sfd-112,0,,,,,,,,,
sfd-113,1,,,,,,1.0,,,
sfd-113a,,,,,,,,,,
sfd-114,1,,,,,,1.0,,,
sfd-115,0,,,,,,,,,
sfd-116,0,,,,,,,,,
sfd-117,0,,,,,,,,,
sfd-118,0,,,,,,,,,
sfd-119,0,,,,,,,,,
sfd-119a,,,,,,,,,,
sfd-120,0,,,,,,,,,
sfd-120a,,,,,,,,,,
sfd-121,2,,,,,,2.0,,,
sfd-122,3,,,,,,3.0,,,
sfd-123,3,,,,,,3.0,,,
sfd-124,2,,,,,,2.0,,,
sfd-125,3,,,,,,3.0,,,
sfd-126,4,,,,,,3.0,1.0,,
sfd-127,3,,,,,,3.0,,,
sfd-128,3,,,,,,3.0,,,
sfd-129,4,,,,,,3.0,1.0,,
sfd-130,0,,,,,,,,,
sfd-131,1,,,,,,1.0,,,
sfd-132,3,,,,,,2.0,1.0,,
sfd-133,1,,,,,,1.0,,,
sfd-134,1,,,,,,1.0,,,
sfd-135,1,,,,,,1.0,,,
sfd-136,2,,,,,,2.0,,,
sfd-137,1,,,,,,1.0,,,
sfd-138,2,,,,,,2.0,,,
sfd-139,1,,,,,,1.0,,,
sfd-140,1,,,,,,1.0,,,
sfd-141,0,,,,,,,,,
sfd-141a,,,,,,,,,,
sfd-142,1,,,,,,1.0,,,
sfd-143,0,,,,,,,,,
sfd-143a,,,,,,,,,,
sfd-144,1,,,,,,1.0,,,
sfd-145,1,,,,,,1.0,,,
sfd-146,0,,,,,,,,,
sfd-147,0,,,,,,,,,
sfd-148,0,,,,,,,,,
sfd-148a,,,,,,,,,,
sfd-149,0,,,,,,,,,
sfd-149a,,,,,,,,,,
sfd-150,0,,,,,,,,,
sfd-151,3,,,,,,3.0,,,
sfd-152,3,,,,,,3.0,,,
sfd-153,3,,,,,,2.0,1.0,,
sfd-154,3,,,,,,3.0,,,
sfd-155,2,,,,,,2.0,,,
